PaperId,AuthorId,AffiliationId,AuthorSequenceNumber,OriginalAuthor,OriginalAffiliation
2187741008,2672654719,,1,Gray Kimbrough,
2191294727,2655349875,,1,Noélie Delahaie,IRES (Institut de Recherches Economiques et sociales)
2191294727,2802198897,124158823.0,2,Richard Duhautois,"CNAM (Conservatoire National des Arts et Métiers), LIRSA (Laboratoire interdisciplinaire en Sciences de l'action) and CEET (Centre d’études de l'emploi et du travail)"
2412796382,1987252896,2802487185.0,1,Stéphane Auray,"CREST-Ensai and Université du Littoral Côte d’Opale. ENSAI, Campus de Ker-Lann, Rue Blaise Pascal, BP 37203, Bruz Cedex 35172, France"
2412796382,1998144543,178906410.0,2,Aurélien Eyquem,"Univ Lyon, Université Lumière Lyon 2, GATE UMR 5824, Ecully F-69130, France"
2412796382,1998144543,185839726.0,2,Aurélien Eyquem,"Institut Universitaire de France, France"
2470316070,162552074,117942362.0,2,Chandra S. Amaravadi,"1Western Illinois University, Macomb, IL, USA"
2470316070,2175814556,117942362.0,1,Christopher J. Carpenter,"1Western Illinois University, Macomb, IL, USA"
2565919305,2499596699,186903577.0,1,James Thompson,"University of Luxembourg > Faculty of Science, Technology and Communication (FSTC) > Mathematics Research Unit "
2568408079,2980687182,84909340.0,1,Peng Zhou,"Institut des Hautes Études Scientifiques, Bures-sur-Yvette, France."
2577484026,2131550435,185261750.0,2,Jeffrey S. Rosenthal,Department of Statistics; University of Toronto; Toronto Canada
2577484026,2149454608,39555362.0,1,Gareth O. Roberts,"  Department of Statistics, University of Warwick , Coventry, UK."
2595061059,2154058331,155781252.0,1,George Androulakis,"Department of Mathematics, University of South Carolina Columbia, SC, USA"
2595061059,2595849774,155781252.0,2,Rade Musulin,"Department of Mathematics, University of South Carolina Columbia, SC, USA"
2603121810,2154119036,150229711.0,2,Xiaojun Yuan,"National Key Laboratory of Science and Technology on Communication, Center for Intelligent Networking and Communications, University of Electronic Science and Technology of China, Chengdu, China"
2603121810,2640302311,177725633.0,3,Yihua Tan,"Dept. of Information Engineering, The Chinese Univ. of Hong Kong, Hong Kong"
2603121810,2912387812,30809798.0,1,Hai Cheng,"[School of Information Science and Technology,  ShanghaiTech University, Shanghai, China]"
2614297623,2013781213,115475287.0,1,Ashley C. Helle,"Oklahoma State University, Stillwater OK, USA"
2614297623,2306248192,115475287.0,2,Stephanie N. Mullins-Sweatt,"Oklahoma State University, Stillwater OK, USA"
2614299954,2117760246,,2,Victor Roy,
2614299954,2966211104,,3,Bedangadas Mohanty,
2614299954,3136789412,,1,Ashutosh Dash,
2616758160,189379448,62916508.0,2,Claudia Czado,"Department of Mathematics, Technical University of Munich, Garching, Germany#TAB#"
2616758160,2341947454,62916508.0,1,Dominik Müller,"Department of Mathematics, Technical University of Munich, Garching, Germany#TAB#"
2620885640,4093082,2610724.0,3,Robert Czudaj,
2620885640,2100406801,1308524038.0,1,Joscha Beckmann,"Chair for International Economics, Ruhr University of Bochum, Bochum, D-44801, Germany; Kiel Institute for the World Economy, Hindenburgufer 66, Kiel, D-24105, Germany"
2620885640,2119653667,180437899.0,2,Theo Berger,"Department of Business Administration, Chair for Applied Statistics and Empirical Economics, University of Bremen, Bremen, D-28359, Germany"
2765988290,2259445331,124055696.0,1,Mogens Fosgerau,"University of Copenhagen,,,,,Denmark"
2765988290,2765572708,200769079.0,2,Gege Jiang,"Hong Kong University of Science and Technology , Hong Kong "
2766985820,1797511484,181343428.0,2,Vedran Katavić,Department of Anatomy University of Zagreb School of Medicine Zagreb Croatia
2766985820,2000546689,92251255.0,5,Ana Marušić,", University of Split School of Medicine"
2766985820,2003319411,92251255.0,4,Matko Marušić,", University of Split School of Medicine"
2766985820,2128469739,92251255.0,1,Mario Malički,", University of Split School of Medicine"
2766985820,2420899916,92251255.0,3,Domagoj Marković,"Department of Cardiology, University of Split Hospital Centre, Split, Croatia"
2777343079,1997909543,69552723.0,2,Matthew W. Clance,"Department of Economics, University of Pretoria, Pretoria, South Africa"
2777343079,2116153567,69552723.0,3,Rangan Gupta,"Department of Economics, University of Pretoria, Pretoria, South Africa"
2777343079,3123813180,69552723.0,1,Goodness C. Aye,"Department of Economics, University of Pretoria, Pretoria, South Africa"
2786647488,2037650917,872922937.0,5,Nadiye Koroglu,"Department of Obstetrics and Gynecology, Health Sciences University, Kanuni Sultan Süleyman Training and Research Hospital, Istanbul, Turkey"
2786647488,2160046351,872922937.0,6,Ilkbal Temel Yuksel,"Department of Obstetrics and Gynecology, Health Sciences University, Kanuni Sultan Süleyman Training and Research Hospital, Istanbul, Turkey"
2786647488,2237532232,872922937.0,7,Gonca Yetkin Yildirim,"Department of Obstetrics and Gynecology, Health Sciences University, Kanuni Sultan Süleyman Training and Research Hospital, Istanbul, Turkey"
2786647488,2599060561,,9,Mustafa Eroglu,"Department of Obstetrics and Gynecology, Health Sciences University Zeynep Kamil Maternity and Children's Research Hospital, Istanbul, Turkey."
2786647488,2687658218,,1,Ahter Tanay Tayyar,"Department of Obstetrics and Gynecology, Health Sciences University Zeynep Kamil Maternity and Children's Research Hospital, Istanbul, Turkey."
2786647488,2776267256,,8,Ismail Dag,"Department of Clinical Biochemistry, Eyup State Hospital, Istanbul, Turkey."
2786647488,2776460148,,3,Sukran Kozali,"Department of Obstetrics and Gynecology, Health Sciences University Zeynep Kamil Maternity and Children's Research Hospital, Istanbul, Turkey."
2786647488,3000165491,,4,Resul Karakus,"Department of Obstetrics and Gynecology, Health Sciences University Zeynep Kamil Maternity and Children's Research Hospital, Istanbul, Turkey."
2786647488,3150736803,872922937.0,2,Ahmet Tayyar,"Department of Obstetrics and Gynecology, Health Sciences University, Kanuni Sultan Süleyman Training and Research Hospital, Istanbul, Turkey"
2787243895,2584408706,913481162.0,2,Verina Ingram,"Forest & Nature Conservation Policy Group, Environmental Sciences Group and Wageningen Economic Research, Social Science Group Wageningen University & Research Wageningen The Netherlands"
2787243895,2786366711,74656192.0,1,Andras Tothmihaly,"(Department of Agricultural Economics and Rural Development, University of Goettingen, Goettingen, Germany)"
2793131601,2573741697,47519274.0,3,Mong Liang Lu,"Department of Psychiatry, Wan-Fang Hospital, Taipei Medical University, Taipei, Taiwan; ; Department of Psychiatry, School of Medicine, College of Medicine, Taipei Medical University, Taipei, Taiwan"
2793131601,2577158243,47519274.0,2,Chun Hsin Chen,"Department of Psychiatry, Wan-Fang Hospital, Taipei Medical University, Taipei, Taiwan; ; Department of Psychiatry, School of Medicine, College of Medicine, Taipei Medical University, Taipei, Taiwan"
2793131601,2790490633,47519274.0,1,Kah Kheng Goh,"a Department of Psychiatry , Wan-Fang Hospital, Taipei Medical University , Taipei , Taiwan."
2794933412,2017947848,79238269.0,2,L. Boza,"Departamento de Matemática Aplicada I, Universidad de Sevilla, Avenida de la Reina Mercedes 4, C.P. 41012 Sevilla, Spain"
2794933412,2167028327,79238269.0,4,M.P. Revuelta,"Departamento de Matemática Aplicada I, Universidad de Sevilla, Avenida de la Reina Mercedes 4, C.P. 41012 Sevilla, Spain"
2794933412,2618102289,79238269.0,5,M.I. Sanz,"Departamento de Matemática Aplicada I, Universidad de Sevilla, Avenida de la Reina Mercedes 4, C.P. 41012 Sevilla, Spain"
2794933412,2778889585,1294671590.0,3,S. Eliahou,"CNRS, FR 2956, France"
