PaperId,FieldId,Score,Level,NormalizedName
2191294727,162324750,0.4351067,0,economics
2191294727,175291020,0.452427775,2,offset
2191294727,6968784,0.605958343,3,efficiency wage
2191294727,145236788,0.453250974,1,labour economics
2191294727,2777661119,0.532075465,2,profit sharing
2191294727,149782125,0.46077925,1,econometrics
2191294727,121662710,0.4162021,2,selection
2187741008,149782125,0.423424363,1,econometrics
2187741008,162853370,0.393748283,1,marketing
2187741008,205649164,0.378574818,0,geography
2187741008,20589650,0.438189834,2,range
2412796382,2778135664,0.568164349,3,open economy
2412796382,105639569,0.466151118,1,economic policy
2412796382,2781356325,0.5875239999999999,3,government spending
2412796382,2776577366,0.536429942,2,investment
2412796382,139719470,0.474938542,1,macroeconomics
2412796382,2778782394,0.550404549,5,sovereign default
2412796382,162324750,0.458635658,0,economics
2412796382,86336370,0.5278324000000001,2,depreciation
2412796382,204983608,0.502602756,2,productivity
2412796382,91760546,0.501635849,2,capital
2412796382,100243477,0.497917771,2,welfare
2470316070,96250715,0.415816873,2,estimation
2470316070,15744967,0.428011566,0,psychology
2470316070,518677369,0.5807438,2,social media
2470316070,86256295,0.665794,2,social network
2470316070,75684735,0.487370759,2,big data
2470316070,77805123,0.447812,1,social psychology
2470316070,133462117,0.502504766,2,data collection
2470316070,44725695,0.50724566,2,normative
2470316070,108827166,0.457597256,1,internet privacy
2577484026,118615104,0.422102541,1,discrete mathematics
2577484026,24211327,0.431734681,2,coupling
2577484026,28826006,0.451015383,1,applied mathematics
2577484026,71923881,0.47128886,2,convergence
2577484026,57869625,0.511515439,3,rate of convergence
2577484026,199277547,0.548296332,2,hitting time
2577484026,33923547,0.388233125,0,mathematics
2577484026,130603088,0.5584937,3,brownian dynamics
2568408079,168185519,0.4870039820000001,2,complex dimension
2568408079,33923547,0.394073427,0,mathematics
2568408079,9767117,0.4485287670000001,2,torus
2568408079,5052557,0.643178344,2,toric variety
2568408079,125300246,0.6010833999999999,3,direct image with compact support
2568408079,109593458,0.570672035,3,derived category
2568408079,143161588,0.59753263,2,coherent sheaf
2568408079,145691206,0.460881084,2,polytope
2568408079,156772000,0.5047894,2,functor
2568408079,202444582,0.457095,1,pure mathematics
2568408079,118615104,0.445160866,1,discrete mathematics
2595061059,165995430,0.5983991999999999,2,boltzmann equation
2595061059,197055811,0.4686137,2,probability density function
2595061059,74650414,0.455212831,1,classical mechanics
2595061059,138777275,0.510311663,2,mixing
2595061059,48725833,0.450903922,2,connection
2595061059,134306372,0.443591148,1,mathematical analysis
2595061059,46844702,0.4714276,2,monatomic gas
2595061059,33923547,0.3616145,0,mathematics
2595061059,2780766582,0.459915847,2,distribution
2565919305,36649600,0.5087611679999999,2,logarithmic derivative
2565919305,112401455,0.452471465,2,brownian motion
2565919305,33923547,0.418269038,0,mathematics
2565919305,33257320,0.4610646,2,second derivative
2565919305,74193536,0.494225085,2,kernel
2565919305,2779593128,0.537625134,2,riemannian manifold
2565919305,207405024,0.568959236,2,semigroup
2565919305,118615104,0.449820936,1,discrete mathematics
2565919305,202444582,0.4687272,1,pure mathematics
2565919305,65574998,0.5148938,2,feynman diagram
2620885640,162324750,0.4318174420000001,0,economics
2620885640,69738904,0.504365146,2,bond
2620885640,106159729,0.4452503,1,financial economics
2620885640,130005797,0.5584376999999999,2,hedge
2603121810,44154836,0.429273576,1,simulation
2603121810,94835093,0.6290939,5,data compression ratio
2603121810,153207627,0.5313776,3,code word
2603121810,203274722,0.488201141,2,network performance
2603121810,33923547,0.3975688,0,mathematics
2603121810,555944384,0.469615847,2,wireless
2603121810,77926391,0.4589524270000001,2,finite field
2603121810,2776330181,0.484902948,2,maximization
2603121810,11413529,0.4672972,1,algorithm
2603121810,3020028006,0.4959754,2,electronic mail
2603121810,200801453,0.5385166,4,distributed source coding
2616758160,81917197,0.488101482,2,selection
2616758160,8398441,0.472504258,2,regularization
2616758160,11413529,0.45649454,1,algorithm
2616758160,35651441,0.4672902820000001,2,independence
2616758160,12310481,0.4247968,2,current
2616758160,2779676228,0.6727988,3,vine copula
2616758160,2778060275,0.55584,2,lasso
2616758160,64331007,0.4639867999999999,2,spanning tree
2616758160,10927425,0.440556824,2,structure
2616758160,126255220,0.448387653,1,mathematical optimization
2616758160,33923547,0.4140986,0,mathematics
2614297623,134238545,0.6294193,5,alternative five model of personality
2614297623,179139775,0.5621155,5,self transcendence
2614297623,174010058,0.682557642,3,personality assessment inventory
2614297623,150286290,0.5725613,4,big five personality traits and culture
2614297623,15744967,0.4052885,0,psychology
2614297623,70410870,0.423634559,1,clinical psychology
2614297623,2777308609,0.632310867,3,personality disorders
